Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.)
ZNF500,zinc finger protein 500,26048,16,-0.1712,1.725,0.01493,0.1738
MEIS1-AS3,MEIS1 antisense RNA 3,730198,2,-0.2503,-6.081,0.01323,0.1629
SPEG,SPEG complex locus,10290,2,-0.5955,2.229,0.01436,0.1705
KIAA1257,KIAA1257,57501,3,0.5061,-0.02249,0.01612,0.1796
DDX11L10,DEAD/H-box helicase 11 like 10,100287029,16,0.6171,-4.815,0.01542,0.1756
MMAB,methylmalonic aciduria (cobalamin deficiency) cblB type,326625,12,0.1715,5.628,0.01069,0.1477
MRPS18C,mitochondrial ribosomal protein S18C,51023,4,0.1714,4.262,0.0119,0.1543
METTL18,methyltransferase like 18,92342,1,0.23,1.807,0.01492,0.1737
RILPL2,Rab interacting lysosomal protein like 2,196383,12,-0.2189,3.372,0.01297,0.1616
TEK,TEK receptor tyrosine kinase,7010,9,-0.3267,4.901,0.01133,0.1513
TK2,"thymidine kinase 2, mitochondrial",7084,16,-0.1938,5.338,0.01097,0.1494
STK26,serine/threonine protein kinase 26,51765,X,0.273,4.499,0.0117,0.1536
USP7,ubiquitin specific peptidase 7 (herpes virus-associated),7874,16,0.1743,8.181,0.009183,0.1375
XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,7515,19,0.1537,4.62,0.01162,0.1534
MMP8,matrix metallopeptidase 8,4317,11,-0.783,-3.319,0.01641,0.181
NKAIN4,Na+/K+ transporting ATPase interacting 4,128414,20,-0.7415,-3.974,0.01644,0.181
SUZ12,SUZ12 polycomb repressive complex 2 subunit,23512,17,0.1778,6.26,0.01038,0.1461
EFCAB11,EF-hand calcium binding domain 11,90141,14,0.1937,3.343,0.01314,0.1627
ACTR6,ARP6 actin-related protein 6 homolog (yeast),64431,12,0.1681,4.612,0.01169,0.1536
UBE3B,ubiquitin protein ligase E3B,89910,12,0.1317,6.019,0.01059,0.1472
MEIS2,Meis homeobox 2,4212,15,-0.269,4.34,0.01201,0.1552
TPRXL,tetra-peptide repeat homeobox-like,348825,3,-0.8121,-0.8369,0.01662,0.1823
TMSB15B,thymosin beta 15B,286527,X,0.4935,-2.627,0.01647,0.1812
SLC17A3,solute carrier family 17 member 3,10786,6,-0.8328,-4.058,0.01658,0.1821
L3HYPDH,L-3-hydroxyproline dehydratase (trans-),112849,14,-0.2013,1.861,0.01517,0.1747
PAGR1,PAXIP1 associated glutamate-rich protein 1,79447,16,0.1603,4.114,0.01231,0.1568
PEBP4,phosphatidylethanolamine binding protein 4,157310,8,-0.6194,-3.798,0.01668,0.1827
PRPF3,pre-mRNA processing factor 3,9129,1,0.1908,7.551,0.00969,0.1406
MESP1,mesoderm posterior bHLH transcription factor 1,55897,15,0.6836,-2.967,0.01662,0.1823
OR8G5,olfactory receptor family 8 subfamily G member 5,219865,11,0.9713,-3.545,0.01677,0.1832
CTSW,cathepsin W,1521,11,0.474,1.883,0.01529,0.1753
FAM109B,family with sequence similarity 109 member B,150368,22,-0.3178,-0.5627,0.01676,0.1832
PALD1,"phosphatase domain containing, paladin 1",27143,10,-0.3079,2.474,0.01455,0.1716
STAB1,stabilin 1,23166,3,-0.3917,6.81,0.01019,0.1444
CALCRL,calcitonin receptor like receptor,10203,2,-0.329,4.296,0.01224,0.1566
FGR,"FGR proto-oncogene, Src family tyrosine kinase",2268,1,-0.34,2.788,0.01417,0.1692
FAAP20,Fanconi anemia core complex associated protein 20,199990,1,-0.1443,2.484,0.01458,0.1717
KHSRP,KH-type splicing regulatory protein,8570,19,0.1325,6.742,0.01026,0.1448
C1orf140,uncharacterized LOC400804,400804,1,-0.4311,-5.449,0.01501,0.174
FZD4,frizzled class receptor 4,8322,11,-0.3179,5.346,0.01128,0.1511
PRKRIP1,PRKR interacting protein 1 (IL11 inducible),79706,7,0.2133,0.5442,0.01655,0.1818
MT1L,metallothionein 1L (gene/pseudogene),4500,16,-0.589,0.1169,0.01676,0.1832
ITGA1,integrin subunit alpha 1,3672,5,-0.3112,7.265,0.009987,0.1426
ZNF620,zinc finger protein 620,253639,3,0.3212,2.402,0.01475,0.1727
RBM42,RNA binding motif protein 42,79171,19,0.1748,4.186,0.01243,0.1574
STOX1,storkhead box 1,219736,10,0.4655,2.795,0.0142,0.1694
PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,9060,10,-0.377,5.621,0.01112,0.1503
GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,2905,17,0.597,-2.693,0.01686,0.1837
CAMK2B,calcium/calmodulin-dependent protein kinase II beta,816,7,0.6705,-2.768,0.01687,0.1837
TMEM190,transmembrane protein 190,147744,19,-0.3274,-5.789,0.01448,0.1713
TUBG1,tubulin gamma 1,7283,17,0.2018,6.069,0.01082,0.1485
AIFM1,"apoptosis inducing factor, mitochondria associated 1",9131,X,0.16,6.216,0.01074,0.1478
ECSCR,endothelial cell surface expressed chemotaxis and apoptosis regulator,641700,5,-0.3092,2.044,0.01535,0.1753
ARG1,arginase 1,383,6,-0.8031,-3.493,0.0171,0.1853
CYP2S1,cytochrome P450 family 2 subfamily S member 1,29785,19,-0.5528,2.753,0.01446,0.1713
KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,11014,7,0.1836,7.114,0.01015,0.1441
ERVMER34-1,endogenous retrovirus group MER34 member 1,100288413,4,0.5074,2.003,0.01538,0.1753
SLC25A40,solute carrier family 25 member 40,55972,7,0.1728,3.498,0.01339,0.1643
TBXA2R,thromboxane A2 receptor,6915,19,-0.3279,0.4936,0.01685,0.1837
RAB3IL1,RAB3A interacting protein (rabin3)-like 1,5866,11,-0.3862,1.299,0.01625,0.1803
TRPM6,transient receptor potential cation channel subfamily M member 6,140803,9,-0.5006,2.273,0.01514,0.1747
CAV2,caveolin 2,858,7,-0.3504,3.73,0.01314,0.1627
GPR137C,G protein-coupled receptor 137C,283554,14,0.3974,0.7876,0.0167,0.1827
AMZ2P1,archaelysin family metallopeptidase 2 pseudogene 1,201283,17,0.2249,2.282,0.01515,0.1747
MYO5B,myosin VB,4645,18,0.3889,7.961,0.009712,0.1406
LMCD1,LIM and cysteine rich domains 1,29995,3,-0.4485,3.197,0.01393,0.1678
ZNF354B,zinc finger protein 354B,117608,5,-0.1758,4.173,0.01266,0.1592
ZNF148,zinc finger protein 148,7707,3,0.1072,6.407,0.01073,0.1478
SCARNA22,small Cajal body-specific RNA 22,677770,4,0.4275,-1.044,0.01735,0.1869
CCDC174,coiled-coil domain containing 174,51244,3,0.1782,4.643,0.01218,0.1563
BOK,BCL2-related ovarian killer,666,2,-0.3213,-0.1158,0.01725,0.1865
ARL2BP,ADP ribosylation factor like GTPase 2 binding protein,23568,16,-0.1724,4.843,0.01202,0.1552
C10orf35,chromosome 10 open reading frame 35,219738,10,0.31,1.01,0.0167,0.1827
SHB,Src homology 2 domain containing adaptor protein B,6461,9,-0.2334,3.583,0.01347,0.1649
AOC4P,"amine oxidase, copper containing 4, pseudogene",90586,17,-0.5119,-1.427,0.01745,0.1871
FAM196A,family with sequence similarity 196 member A,642938,10,-0.5394,-3.605,0.01748,0.1871
DNAAF5,dynein (axonemal) assembly factor 5,54919,7,0.1709,4.478,0.01244,0.1574
LOC101929767,uncharacterized LOC101929767,101929767,17,0.3284,-5.243,0.01591,0.1779
LCAT,lecithin-cholesterol acyltransferase,3931,16,-0.294,3.626,0.01345,0.1648
PLEK2,pleckstrin 2,26499,14,-0.4822,2.668,0.01479,0.1731
ARHGEF37,Rho guanine nucleotide exchange factor 37,389337,5,-0.3551,2.189,0.0155,0.1759
MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,266727,6,-0.4745,1.427,0.01643,0.181
PRSS27,"protease, serine 27",83886,16,0.4885,0.1378,0.01737,0.1869
TAF6,TATA-box binding protein associated factor 6,6878,7,0.149,4.833,0.01212,0.1561
MEF2A,myocyte enhancer factor 2A,4205,15,-0.1632,6.168,0.01104,0.1498
CD109,CD109 molecule,135228,6,-0.5475,5.658,0.01144,0.152
GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,116443,9,0.6724,-2.274,0.01753,0.1872
TICAM1,toll like receptor adaptor molecule 1,148022,19,-0.1742,3.374,0.0139,0.1676
LINC-PINT,"long intergenic non-protein coding RNA, p53 induced transcript",378805,7,-0.4676,-3.84,0.01763,0.188
SNRPG,small nuclear ribonucleoprotein polypeptide G,6637,2,0.1931,4.953,0.01206,0.1555
LLPH,"LLP homolog, long-term synaptic facilitation (Aplysia)",84298,12,0.1912,2.764,0.01478,0.173
ABHD10,abhydrolase domain containing 10,55347,3,0.1461,2.891,0.01463,0.172
C21orf58,chromosome 21 open reading frame 58,54058,21,0.328,1.11,0.01685,0.1837
ASPA,aspartoacylase,443,17,-0.5327,0.8806,0.01708,0.1853
F10,coagulation factor X,2159,13,-0.5251,0.4583,0.01734,0.1869
SLC39A13,solute carrier family 39 member 13,91252,11,-0.2212,4.33,0.01279,0.1603
GATSL2,GATS protein-like 2,729438,7,0.2471,4.472,0.01264,0.1591
C1orf43,chromosome 1 open reading frame 43,25912,1,0.1599,5.951,0.01131,0.1511
ANGPTL1,angiopoietin like 1,9068,1,-0.7899,-0.1849,0.0177,0.1886
CELF3,"CUGBP, Elav-like family member 3",11189,1,0.6115,-5.048,0.01647,0.1812
BARD1,BRCA1 associated RING domain 1,580,2,0.2394,4.754,0.01234,0.1569
SLC7A9,solute carrier family 7 member 9,11136,19,0.4156,0.5366,0.01742,0.1869
APLNR,apelin receptor,187,11,-0.4165,0.615,0.01742,0.1869
TG,thyroglobulin,7038,8,-0.5238,3.726,0.01367,0.1662
UBA2,ubiquitin like modifier activating enzyme 2,10054,19,0.177,7.128,0.01054,0.147
VSNL1,visinin like 1,7447,2,-0.7855,-0.2812,0.01786,0.1898
TSR2,"TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)",90121,X,0.164,3.25,0.0143,0.1701
IRS1,insulin receptor substrate 1,3667,2,-0.3901,6.286,0.01118,0.1507
C14orf80,chromosome 14 open reading frame 80,283643,14,0.2266,1.01,0.01721,0.1863
NT5C1A,"5'-nucleotidase, cytosolic IA",84618,1,-0.4777,-4.684,0.01739,0.1869
KCNG1,potassium voltage-gated channel modifier subfamily G member 1,3755,20,0.7045,1.995,0.01622,0.1802
AFAP1L1,actin filament associated protein 1 like 1,134265,5,-0.2621,3.817,0.01361,0.1659
CGB7,chorionic gonadotropin beta subunit 7,94027,19,-0.5895,-1.88,0.01805,0.1903
USP43,ubiquitin specific peptidase 43,124739,17,0.3198,2.883,0.01487,0.1735
NA,NA,NA,NA,-0.3022,-1.922,0.01807,0.1904
BTNL9,butyrophilin like 9,153579,5,-0.4902,0.02839,0.01796,0.1903
SNORA15,"small nucleolar RNA, H/ACA box 15",677803,7,0.4759,-1.702,0.01813,0.1907
GPSM2,G-protein signaling modulator 2,29899,1,0.2956,5.696,0.01171,0.1536
TMPRSS3,"transmembrane protease, serine 3",64699,21,0.6813,2.572,0.01555,0.1762
ADPRHL1,ADP-ribosylhydrolase like 1,113622,13,0.3401,0.08313,0.01806,0.1903
RNMT,RNA (guanine-7-) methyltransferase,8731,18,0.1713,5.36,0.01207,0.1555
NA,NA,NA,NA,-0.5074,1.096,0.01739,0.1869
CCDC58,coiled-coil domain containing 58,131076,3,0.2115,3.796,0.01378,0.1666
ZNF276,zinc finger protein 276,92822,16,-0.2126,5.844,0.01171,0.1536
KCNMB3,potassium calcium-activated channel subfamily M regulatory beta subunit 3,27094,3,0.2419,2.738,0.01529,0.1753
UBE2Q1,ubiquitin conjugating enzyme E2Q family member 1,55585,1,0.1224,6.05,0.01154,0.1528
SHISA3,shisa family member 3,152573,4,-0.7983,-2.995,0.01834,0.1923
TTC30B,tetratricopeptide repeat domain 30B,150737,2,0.1983,2.37,0.0159,0.1778
SLC25A12,solute carrier family 25 member 12,8604,2,-0.1818,5.658,0.01189,0.1542
LOC100506302,uncharacterized LOC100506302,100506302,7,0.2083,-0.5547,0.01838,0.1925
CXCL11,C-X-C motif chemokine ligand 11,6373,4,0.8208,0.2477,0.0181,0.1905
OSER1,oxidative stress responsive serine-rich 1,51526,20,0.1993,4.587,0.01291,0.161
FLJ16779,uncharacterized LOC100192386,100192386,20,-0.4343,-5.423,0.0163,0.1804
NLRP3,"NLR family, pyrin domain containing 3",114548,1,-0.4442,3.948,0.01371,0.1662
NOP14-AS1,NOP14 antisense RNA 1,317648,4,-0.3712,-4.929,0.01739,0.1869
HDGFRP2,hepatoma-derived growth factor-related protein 2,84717,19,0.1315,5.251,0.0123,0.1567
MCTS1,malignant T-cell amplified sequence 1,28985,X,0.1559,4.212,0.01338,0.1643
FOXO6,forkhead box O6,100132074,1,0.614,0.01019,0.01837,0.1925
PODXL,podocalyxin like,5420,7,-0.2792,5.335,0.01226,0.1566
MTSS1,metastasis suppressor 1,9788,8,-0.3663,6.273,0.01147,0.1523
MYC,v-myc avian myelocytomatosis viral oncogene homolog,4609,8,-0.4418,5.252,0.01233,0.1569
PABPC5,"poly(A) binding protein, cytoplasmic 5",140886,X,-0.4074,-0.1528,0.01848,0.193
MRPL42,mitochondrial ribosomal protein L42,28977,12,0.1699,4.735,0.01285,0.1607
HM13,histocompatibility (minor) 13,81502,20,0.1574,7.174,0.01086,0.1486
CEMIP,"cell migration inducing protein, hyaluronan binding",57214,15,-0.5592,5.778,0.01194,0.1546
HIST1H3A,"histone cluster 1, H3a",8350,6,0.3367,2.645,0.01566,0.1766
C12orf76,chromosome 12 open reading frame 76,400073,12,0.2376,-1.571,0.01873,0.1944
ZNF671,zinc finger protein 671,79891,19,-0.3853,1.804,0.01698,0.1844
ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,56999,3,-0.3897,5.51,0.0122,0.1564
S1PR5,sphingosine-1-phosphate receptor 5,53637,19,-0.5424,-1.435,0.01877,0.1946
STARD5,StAR related lipid transfer domain containing 5,80765,15,-0.2842,2.247,0.01641,0.181
PLEKHG1,pleckstrin homology and RhoGEF domain containing G1,57480,6,-0.2558,6.057,0.01175,0.1537
ACOT13,acyl-CoA thioesterase 13,55856,6,0.2099,2.954,0.01532,0.1753
VDR,"vitamin D (1,25- dihydroxyvitamin D3) receptor",7421,12,-0.3285,3.807,0.01409,0.1688
DDIAS,DNA damage induced apoptosis suppressor,220042,11,0.3328,2.729,0.01566,0.1766
HIST1H3J,"histone cluster 1, H3j",8356,6,0.5341,0.5548,0.0183,0.192
VPS9D1-AS1,VPS9D1 antisense RNA 1,100128881,16,-0.5792,1.504,0.01745,0.1871
NA,NA,NA,NA,-0.4876,-4.573,0.01828,0.1918
CXCL13,C-X-C motif chemokine ligand 13,10563,4,0.872,2.361,0.01635,0.1807
ARRDC2,arrestin domain containing 2,27106,19,-0.2274,2.176,0.01662,0.1823
ISLR2,immunoglobulin superfamily containing leucine-rich repeat 2,57611,15,-0.5657,-1.25,0.01902,0.196
CDH13,cadherin 13,1012,16,-0.4139,4.665,0.0132,0.1628
ECM2,"extracellular matrix protein 2, female organ and adipocyte specific",1842,9,-0.416,2.942,0.01556,0.1762
LPL,lipoprotein lipase,4023,8,-0.4402,2.861,0.01568,0.1767
NA,NA,NA,NA,-0.5404,0.9493,0.01823,0.1915
EFEMP1,EGF containing fibulin-like extracellular matrix protein 1,2202,2,-0.6556,6.28,0.01172,0.1536
DIRAS3,DIRAS family GTP binding RAS like 3,9077,1,-0.4929,-1.952,0.01921,0.1974
TUBB6,tubulin beta 6 class V,84617,18,-0.4694,5.555,0.01246,0.1577
NA,NA,NA,NA,-0.4639,-5.13,0.01758,0.1875
TCTEX1D2,Tctex1 domain containing 2,255758,3,0.3244,1.436,0.01798,0.1903
STKLD1,serine/threonine kinase-like domain containing 1,169436,9,0.4094,-2.464,0.01931,0.1981
KRT12,keratin 12,3859,17,0.9588,-2.794,0.01933,0.1981
NA,NA,NA,NA,0.5456,-4.507,0.01881,0.1946
PPP4C,protein phosphatase 4 catalytic subunit,5531,16,0.1638,5.28,0.01277,0.1601
ZHX2,zinc fingers and homeoboxes 2,22882,8,-0.2008,5.196,0.01288,0.1609
KLHL4,kelch like family member 4,56062,X,-0.5797,-0.1485,0.01927,0.1979
CSTF1,"cleavage stimulation factor, 3' pre-RNA, subunit 1",1477,20,0.1482,5.036,0.01304,0.1621
NELFE,negative elongation factor complex member E,7936,6,0.1659,4.098,0.01424,0.1697
DOCK5,dedicator of cytokinesis 5,80005,8,-0.2583,6.863,0.0116,0.1533
PECAM1,platelet/endothelial cell adhesion molecule 1,5175,17,-0.298,1.093,0.01867,0.1941
LZTS1,"leucine zipper, putative tumor suppressor 1",11178,8,-0.355,0.8263,0.01893,0.1953
RANBP1,RAN binding protein 1,5902,22,0.1878,5.581,0.01268,0.1593
CNOT11,CCR4-NOT transcription complex subunit 11,55571,2,0.1876,5.946,0.01239,0.1571
SF3A2,splicing factor 3a subunit 2,8175,19,0.1477,4.636,0.0137,0.1662
PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,5295,5,-0.2464,6.677,0.01185,0.154
TIMM21,translocase of inner mitochondrial membrane 21,29090,18,0.1656,3.741,0.01487,0.1735
SYT4,synaptotagmin 4,6860,18,0.5814,-5.265,0.01785,0.1898
PCDHGB6,"protocadherin gamma subfamily B, 6",56100,5,-0.3356,3.188,0.01574,0.177
PPP2R5D,"protein phosphatase 2 regulatory subunit B', delta",5528,6,0.136,6.274,0.01221,0.1564
PKDCC,"protein kinase domain containing, cytoplasmic",91461,2,-0.5982,1.166,0.01882,0.1946
MCM5,minichromosome maintenance complex component 5,4174,22,0.2208,4.705,0.0137,0.1662
IL1RAP,interleukin 1 receptor accessory protein,3556,3,-0.3544,4.514,0.01394,0.1678
PDIA3P1,protein disulfide isomerase family A member 3 pseudogene 1,171423,1,0.1738,6.281,0.01225,0.1566
SMKR1,small lysine-rich protein 1,100287482,7,0.5579,-3.709,0.02011,0.2025
NEAT1,nuclear paraspeckle assembly transcript 1 (non-protein coding),283131,11,-0.3282,3.845,0.01488,0.1736
STAB2,stabilin 2,55576,12,-0.9802,-0.2039,0.01998,0.202
ZNF79,zinc finger protein 79,7633,9,0.167,3.526,0.01535,0.1753
UBXN8,UBX domain protein 8,7993,8,-0.2026,2.657,0.0168,0.1834
TMED8,transmembrane p24 trafficking protein family member 8,283578,14,0.1376,3.474,0.01548,0.1758
ZBTB33,zinc finger and BTB domain containing 33,10009,X,0.1706,5.553,0.01293,0.1611
SLC27A6,solute carrier family 27 member 6,28965,5,0.863,-0.3666,0.02008,0.2024
FGG,fibrinogen gamma chain,2266,4,-1.153,-3.404,0.02023,0.2032
C17orf97,chromosome 17 open reading frame 97,400566,17,0.3382,2.033,0.01782,0.1895
ALKBH6,alkB homolog 6,84964,19,0.1696,2.066,0.01779,0.1893
XPOT,"exportin, tRNA",11260,12,0.1781,7.432,0.01145,0.1521
CASKIN2,CASK interacting protein 2,57513,17,-0.1879,3.09,0.01616,0.1796
FCGBP,Fc fragment of IgG binding protein,8857,19,-0.5859,5.26,0.01327,0.1634
MRPS25,mitochondrial ribosomal protein S25,64432,3,0.1808,5.299,0.01323,0.1629
PLEKHG3,pleckstrin homology and RhoGEF domain containing G3,26030,14,-0.2972,4.991,0.01356,0.1655
AOC3,"amine oxidase, copper containing 3",8639,17,-0.4481,4.218,0.01451,0.1714
FEZ1,fasciculation and elongation protein zeta 1,9638,11,-0.3456,3.065,0.01627,0.1804
NA,NA,NA,NA,0.5298,-4.069,0.02018,0.203
CHAC2,"ChaC, cation transport regulator homolog 2 (E. coli)",494143,2,0.2716,0.1012,0.02005,0.2023
ELOVL7,ELOVL fatty acid elongase 7,79993,5,0.4057,2.951,0.01641,0.181
NA,NA,NA,NA,-0.6531,-0.7582,0.02043,0.2038
SLC22A15,solute carrier family 22 member 15,55356,1,-0.2572,3.069,0.01628,0.1804
SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor",89866,1,-0.3751,3.277,0.01599,0.1786
HIST1H3F,"histone cluster 1, H3f",8968,6,0.466,4.929,0.01374,0.1665
LGALS9C,"lectin, galactoside-binding, soluble, 9C",654346,17,-0.4586,-5.252,0.01845,0.193
HSF2,heat shock transcription factor 2,3298,6,0.1575,4.234,0.01457,0.1716
LOC399815,chromosome 10 open reading frame 88 pseudogene,399815,10,0.5462,-1.408,0.02058,0.2046
ATP6V0D2,ATPase H+ transporting V0 subunit d2,245972,8,-0.6467,-1.608,0.02059,0.2046
DENND3,DENN domain containing 3,22898,8,-0.2982,4.347,0.01445,0.1713
SLC13A5,solute carrier family 13 member 5,284111,17,-0.7912,-4.004,0.02042,0.2038
LSM1,"LSM1 homolog, mRNA degradation associated",27257,8,0.2141,3.78,0.01527,0.1753
H1FX,H1 histone family member X,8971,3,0.2171,3.661,0.01546,0.1757
ZNF354C,zinc finger protein 354C,30832,5,-0.3532,3.243,0.01615,0.1796
NR1H2,nuclear receptor subfamily 1 group H member 2,7376,19,-0.1392,3.708,0.01542,0.1756
CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4,26504,2,0.1905,5.245,0.01349,0.1649
FADS3,fatty acid desaturase 3,3995,11,-0.3127,3.621,0.01561,0.1763
EIF4A3,eukaryotic translation initiation factor 4A3,9775,17,0.1661,6.202,0.01265,0.1591
PRR19,proline rich 19,284338,19,0.3432,-1.164,0.02077,0.2057
QTRT2,queuine tRNA-ribosyltransferase accessory subunit 2,79691,3,0.1526,4.877,0.01392,0.1678
WNT7A,wingless-type MMTV integration site family member 7A,7476,3,-0.8692,-1.847,0.02081,0.2059
ARHGAP1,Rho GTPase activating protein 1,392,11,-0.2018,6.091,0.01278,0.1603
ROCK1P1,Rho associated coiled-coil containing protein kinase 1 pseudogene 1,727758,18,0.4627,-2.893,0.02085,0.2061
POLR2K,polymerase (RNA) II subunit K,5440,8,0.2642,5.089,0.01376,0.1665
KLHL21,kelch like family member 21,9903,1,-0.2156,1.796,0.01885,0.1946
TANK,TRAF family member associated NFKB activator,10010,2,-0.1637,6.311,0.0127,0.1594
EHBP1L1,EH domain binding protein 1 like 1,254102,11,-0.2242,7.833,0.01155,0.1529
ABLIM2,actin binding LIM protein family member 2,84448,4,-0.4112,1.028,0.01984,0.2014
MEA1,male-enhanced antigen 1,4201,6,0.1574,4.526,0.01451,0.1714
CHAC1,ChaC glutathione-specific gamma-glutamylcyclotransferase 1,79094,15,0.3803,-0.3437,0.02088,0.2063
SCARNA6,small Cajal body-specific RNA 6,677772,2,-0.256,5.367,0.01362,0.166
FAM20C,family with sequence similarity 20 member C,56975,7,-0.4567,3.579,0.01587,0.1776
NA,NA,NA,NA,-0.3755,-4.914,0.01966,0.2003
C9orf78,chromosome 9 open reading frame 78,51759,9,0.1567,5.58,0.01342,0.1645
GDF10,growth differentiation factor 10,2662,10,-0.6414,-3.982,0.02101,0.2071
RNMTL1,RNA methyltransferase like 1,55178,17,0.1843,2.371,0.01803,0.1903
MLF1,myeloid leukemia factor 1,4291,3,0.3556,3.382,0.01627,0.1804
LIN52,lin-52 DREAM MuvB core complex component,91750,14,0.1736,0.8809,0.0202,0.2031
XKR7,XK related 7,343702,20,0.4587,-5.345,0.01876,0.1946
POLR2D,polymerase (RNA) II subunit D,5433,2,0.1306,2.763,0.01737,0.1869
HIST1H3I,"histone cluster 1, H3i",8354,6,0.4131,4.272,0.01503,0.174
CEP112,centrosomal protein 112kDa,201134,17,-0.3272,4.323,0.01494,0.1738
OTUD7B,OTU deubiquitinase 7B,56957,1,0.2087,5.62,0.01349,0.1649
TMEM206,transmembrane protein 206,55248,1,0.1736,3.225,0.01669,0.1827
RGS17,regulator of G-protein signaling 17,26575,6,-0.5818,0.4118,0.02082,0.2059
RNF14,ring finger protein 14,9604,5,-0.1268,4.954,0.0142,0.1694
TRIM3,tripartite motif containing 3,10612,11,-0.1745,2.048,0.01879,0.1946
ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",124,4,-0.7842,-3.623,0.02148,0.2094
NA,NA,NA,NA,-0.2974,-5.71,0.0178,0.1894
AATF,apoptosis antagonizing transcription factor,26574,17,0.1248,6.519,0.01276,0.1601
PIGC,phosphatidylinositol glycan anchor biosynthesis class C,5279,1,0.1566,2.681,0.01778,0.1893
UGT3A2,UDP glycosyltransferase family 3 member A2,167127,5,0.7391,-2.569,0.0216,0.21
IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",3418,15,0.2383,7.278,0.01222,0.1564
NRIP2,nuclear receptor interacting protein 2,83714,12,-0.4666,-2.176,0.02164,0.2103
CYP4A22,cytochrome P450 family 4 subfamily A member 22,284541,1,-0.5799,-3.937,0.02146,0.2094
PALM,paralemmin,5064,19,-0.4239,0.3711,0.02106,0.2073
FAM20B,family with sequence similarity 20 member B,9917,1,0.1728,4.971,0.01435,0.1705
DAPK1,death-associated protein kinase 1,1612,9,0.36,7.26,0.01225,0.1566
MICALL2,MICAL like 2,79778,7,-0.2746,4.029,0.01558,0.1762
TLX1,T-cell leukemia homeobox 1,3195,10,0.681,-4.835,0.02045,0.2038
ANXA10,annexin A10,11199,4,-1.335,1.456,0.02017,0.2029
POU5F2,"POU domain class 5, transcription factor 2",134187,5,-0.1999,1.456,0.01997,0.202
HIST1H4L,"histone cluster 1, H4l",8368,6,0.445,2.662,0.01804,0.1903
LEPROT,leptin receptor overlapping transcript,54741,1,-0.1772,3.402,0.01669,0.1827
SYT1,synaptotagmin 1,6857,12,0.537,2.275,0.0186,0.1936
MARVELD1,MARVEL domain containing 1,83742,10,-0.3324,1.114,0.02046,0.2038
SNORD8,"small nucleolar RNA, C/D box 8",319103,14,-0.3339,2.059,0.01907,0.1964
TPSAB1,tryptase alpha/beta 1,7177,16,-0.5692,-0.6385,0.02181,0.2112
NA,NA,NA,NA,0.1779,1.451,0.02008,0.2024
CLN8,"ceroid-lipofuscinosis, neuronal 8",2055,8,-0.1886,4.549,0.01501,0.174
CARD6,caspase recruitment domain family member 6,84674,5,-0.2874,4.807,0.01471,0.1725
ZNF740,zinc finger protein 740,283337,12,0.1269,3.683,0.01627,0.1804
CNBD1,cyclic nucleotide binding domain containing 1,168975,8,0.6021,-4.203,0.02156,0.2097
FAM220A,family with sequence similarity 220 member A,84792,7,0.1556,2.406,0.01857,0.1935
MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),4524,1,-0.1509,4.485,0.01514,0.1747
HNF4A,hepatocyte nuclear factor 4 alpha,3172,20,-0.8783,-2.182,0.02206,0.2125
PSMD12,"proteasome 26S subunit, non-ATPase 12",5718,17,0.1405,5.778,0.0137,0.1662
XYLT2,xylosyltransferase II,64132,17,-0.1486,4.157,0.01562,0.1764
VPS50,"VPS50, EARP/GARPII complex subunit",55610,7,0.1227,5.523,0.01396,0.1679
TOR4A,torsin family 4 member A,54863,9,-0.3136,0.0483,0.02169,0.2105
TRIM47,tripartite motif containing 47,91107,17,-0.3437,2.504,0.01847,0.193
RAB39B,"RAB39B, member RAS oncogene family",116442,X,0.5213,-1.545,0.02215,0.2129
NLRP12,"NLR family, pyrin domain containing 12",91662,19,-0.4787,1.122,0.02076,0.2057
PRPF18,pre-mRNA processing factor 18,8559,10,0.1495,5.053,0.01452,0.1714
FRMD4B,FERM domain containing 4B,23150,3,-0.2855,5.116,0.01447,0.1713
ZNF454,zinc finger protein 454,285676,5,-0.4149,1.515,0.02026,0.2033
CDKN2B,cyclin-dependent kinase inhibitor 2B,1030,9,0.5905,0.1904,0.0217,0.2105
MRPL17,mitochondrial ribosomal protein L17,63875,11,0.1631,2.314,0.01894,0.1953
CPSF6,cleavage and polyadenylation specific factor 6,11052,12,0.3473,6.649,0.01305,0.1621
LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2",28956,1,0.1814,6.282,0.01336,0.1641
