Symbol,Description,EntrezID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
NA,NA,NA,NA,0.07977,-5.887,0.1562,0.4837,,,,,,,,,,,
HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD),3248,4,0.5078,6.418,0.1562,0.4837,,,,,,,,,,,
FTSJ3,FtsJ homolog 3 (E. coli),117246,17,0.05165,6.239,0.1563,0.4837,,,,,,,,,,,
KDM1B,lysine demethylase 1B,221656,6,0.1409,5.517,0.1563,0.4837,,,,,,,,,,,
RGPD6,RANBP2-like and GRIP domain containing 6,729540,2,0.179,-2.373,0.1565,0.4839,,,,,,,,,,,
BAIAP2L1,BAI1 associated protein 2 like 1,55971,7,0.1722,5.765,0.1567,0.4844,,,,,,,,,,,
SS18,"synovial sarcoma translocation, chromosome 18",6760,18,0.06651,6.63,0.1568,0.4845,,,,,,,,,,,
NA,NA,NA,NA,0.00286,-6.275,0.1568,0.4847,,,,,,,,,,,
RRP7BP,"ribosomal RNA processing 7 homolog B, pseudogene",91695,22,0.09322,2.178,0.1569,0.4847,,,,,,,,,,,
VAMP8,vesicle associated membrane protein 8,8673,2,0.1229,5.701,0.1569,0.4847,,,,,,,,,,,
ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,55160,1,0.1178,5.796,0.157,0.4849,,,,,,,,,,,
CCDC103,coiled-coil domain containing 103,388389,17,0.1873,-1.154,0.1573,0.4855,,,,,,,,,,,
HS6ST1,heparan sulfate 6-O-sulfotransferase 1,9394,2,0.07777,3.016,0.1574,0.4856,,,,,,,,,,,
TXNRD3,thioredoxin reductase 3,114112,3,0.09965,4.017,0.1576,0.4861,,,,,,,,,,,
ALKBH7,alkB homolog 7,84266,19,0.116,0.5614,0.1578,0.4863,,,,,,,,,,,
NA,NA,NA,NA,0.3629,-2.502,0.1578,0.4864,,,,,,,,,,,
TRIM13,tripartite motif containing 13,10206,13,0.004903,3.774,0.1581,0.4868,,,,,,,,,,,
EML5,echinoderm microtubule associated protein like 5,161436,14,0.2653,2.912,0.1581,0.4869,,,,,,,,,,,
USE1,unconventional SNARE in the ER 1 homolog (S. cerevisiae),55850,19,0.09443,2.247,0.1583,0.4873,,,,,,,,,,,
ANAPC7,anaphase promoting complex subunit 7,51434,12,0.05092,5.911,0.1583,0.4873,,,,,,,,,,,
CDC42SE1,CDC42 small effector 1,56882,1,0.09208,6.081,0.1584,0.4874,,,,,,,,,,,
BMS1P5,"BMS1, ribosome biogenesis factor pseudogene 5",399761,10,0.1501,0.99,0.1585,0.4874,,,,,,,,,,,
TDRKH,tudor and KH domain containing,11022,1,0.1876,3.205,0.1585,0.4874,,,,,,,,,,,
APIP,APAF1 interacting protein,51074,11,0.08285,2.919,0.1586,0.4876,,,,,,,,,,,
FAM53C,family with sequence similarity 53 member C,51307,5,0.07251,4.208,0.1586,0.4876,,,,,,,,,,,
NRTN,neurturin,4902,19,0.2575,-4.185,0.1588,0.4878,,,,,,,,,,,
GSK3B,glycogen synthase kinase 3 beta,2932,3,0.09973,6.442,0.1588,0.4878,,,,,,,,,,,
SENP3-EIF4A1,SENP3-EIF4A1 readthrough (NMD candidate),100533955,17,0.2982,-3.821,0.1591,0.4885,,,,,,,,,,,
NA,NA,NA,NA,0.1132,-6.031,0.1592,0.4887,,,,,,,,,,,
CRNN,cornulin,49860,1,0.3777,-4.612,0.1593,0.4889,,,,,,,,,,,
KCNK1,potassium two pore domain channel subfamily K member 1,3775,1,0.2782,3.472,0.1594,0.4889,,,,,,,,,,,
C11orf94,chromosome 11 open reading frame 94,143678,11,0.02425,-6.177,0.1594,0.4889,,,,,,,,,,,
HLCS,holocarboxylase synthetase,3141,21,0.07936,6.07,0.1595,0.4891,,,,,,,,,,,
POLR1E,polymerase (RNA) I subunit E,64425,9,0.104,4.219,0.1596,0.4892,,,,,,,,,,,
HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",10075,X,0.06165,10.53,0.1596,0.4893,,,,,,,,,,,
LOC100996720,uncharacterized LOC100996720,100996720,1,0.08582,-5.879,0.1596,0.4893,,,,,,,,,,,
TYW1,tRNA-yW synthesizing protein 1 homolog,55253,7,0.0527,4.603,0.1598,0.4896,,,,,,,,,,,
GOLGA4,golgin A4,2803,3,0.1466,8.799,0.16,0.4902,,,,,,,,,,,
SNHG9,small nucleolar RNA host gene 9,735301,16,0.03183,-6.019,0.1601,0.4903,,,,,,,,,,,
FAM86JP,"family with sequence similarity 86, member A pseudogene",100125556,3,0.1158,1.02,0.1602,0.4905,,,,,,,,,,,
PPP6R1,protein phosphatase 6 regulatory subunit 1,22870,19,0.06906,6.231,0.1603,0.4906,,,,,,,,,,,
PIP4K2C,"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma",79837,12,0.1019,5.347,0.1603,0.4907,,,,,,,,,,,
GATA2,GATA binding protein 2,2624,3,0.272,3.912,0.1604,0.4908,,,,,,,,,,,
FAM86DP,"family with sequence similarity 86, member D, pseudogene",692099,3,0.1559,3.877,0.1604,0.4909,,,,,,,,,,,
SMIM5,small integral membrane protein 5,643008,17,0.2268,-1.834,0.1605,0.4911,,,,,,,,,,,
HIST1H3D,"histone cluster 1, H3d",8351,6,0.112,5.2,0.1607,0.4916,,,,,,,,,,,
TMEM258,transmembrane protein 258,746,11,0.01696,4.389,0.161,0.492,,,,,,,,,,,
KLHL20,kelch like family member 20,27252,1,0.06786,5.271,0.1611,0.4922,,,,,,,,,,,
NA,NA,NA,NA,0.04131,-6.044,0.1611,0.4923,,,,,,,,,,,
EARS2,"glutamyl-tRNA synthetase 2, mitochondrial",124454,16,0.05883,3.234,0.1612,0.4923,,,,,,,,,,,
IBA57-AS1,IBA57 antisense RNA 1 (head to head),574432,1,0.1516,-2.093,0.1613,0.4925,,,,,,,,,,,
KRTAP4-1,keratin associated protein 4-1,85285,17,0.2601,-4.004,0.1614,0.4929,,,,,,,,,,,
TNIP2,TNFAIP3 interacting protein 2,79155,4,0.03841,3.138,0.1616,0.4931,,,,,,,,,,,
ZMIZ2,zinc finger MIZ-type containing 2,83637,7,0.06693,6.377,0.1619,0.4938,,,,,,,,,,,
BCAR4,breast cancer anti-estrogen resistance 4 (non-protein coding),400500,16,0.2439,-4.973,0.1619,0.4938,,,,,,,,,,,
RPIA,ribose 5-phosphate isomerase A,22934,2,0.113,5.067,0.1621,0.494,,,,,,,,,,,
CYP4F22,cytochrome P450 family 4 subfamily F member 22,126410,19,0.5752,3.439,0.1621,0.494,,,,,,,,,,,
CLDN23,claudin 23,137075,8,0.2787,-1.693,0.1621,0.494,,,,,,,,,,,
ARHGEF26,Rho guanine nucleotide exchange factor 26,26084,3,0.1862,3.754,0.1622,0.4944,,,,,,,,,,,
SEC24B-AS1,SEC24B antisense RNA 1,100533182,4,0.07004,-5.92,0.1623,0.4945,,,,,,,,,,,
NA,NA,NA,NA,0.008744,-6.272,0.1624,0.4945,,,,,,,,,,,
LINC00520,long intergenic non-protein coding RNA 520,645687,14,0.01212,-6.196,0.1626,0.4948,,,,,,,,,,,
OTOP2,otopetrin 2,92736,17,0.1613,-5.514,0.1626,0.4948,,,,,,,,,,,
NA,NA,NA,NA,0.008713,-6.243,0.1626,0.4949,,,,,,,,,,,
NUTF2,nuclear transport factor 2,10204,16,0.05005,3.907,0.1627,0.4949,,,,,,,,,,,
MTNR1B,melatonin receptor 1B,4544,11,0.5026,-4.146,0.1627,0.4949,,,,,,,,,,,
DARS-AS1,DARS antisense RNA 1,101928243,2,0.1255,-3.789,0.1628,0.4949,,,,,,,,,,,
GDPD2,glycerophosphodiester phosphodiesterase domain containing 2,54857,X,0.4445,0.7447,0.1628,0.4949,,,,,,,,,,,
PLS1,plastin 1,5357,3,0.2694,5.063,0.1628,0.495,,,,,,,,,,,
ODF3B,outer dense fiber of sperm tails 3B,440836,22,0.1831,0.8863,0.1628,0.495,,,,,,,,,,,
RAD9A,RAD9 checkpoint clamp component A,5883,11,0.129,2.95,0.163,0.4953,,,,,,,,,,,
STMN1,stathmin 1,3925,1,0.1954,6.198,0.1631,0.4955,,,,,,,,,,,
TMEM101,transmembrane protein 101,84336,17,0.07139,1.599,0.1631,0.4955,,,,,,,,,,,
KCTD1,potassium channel tetramerization domain containing 1,284252,18,0.1256,2.916,0.1632,0.4955,,,,,,,,,,,
DUS2,dihydrouridine synthase 2,54920,16,0.09798,4.084,0.1632,0.4955,,,,,,,,,,,
LOC155060,AI894139 pseudogene,155060,7,0.1175,2.317,0.1635,0.496,,,,,,,,,,,
PPP2R2C,"protein phosphatase 2 regulatory subunit B, gamma",5522,4,0.4655,-1.002,0.1636,0.4961,,,,,,,,,,,
USF2,"upstream transcription factor 2, c-fos interacting",7392,19,0.118,6.411,0.1636,0.4961,,,,,,,,,,,
ZNF174,zinc finger protein 174,7727,16,0.01842,2.072,0.1636,0.4961,,,,,,,,,,,
ACOX1,"acyl-CoA oxidase 1, palmitoyl",51,17,0.2011,8.53,0.1638,0.4962,,,,,,,,,,,
XAGE3,X antigen family member 3,170626,X,0.2481,-5.795,0.1638,0.4962,,,,,,,,,,,
FUT6,fucosyltransferase 6,2528,19,0.4,1.364,0.164,0.4968,,,,,,,,,,,
CUL9,cullin 9,23113,6,0.0907,6.314,0.164,0.4968,,,,,,,,,,,
SLF1,SMC5-SMC6 complex localization factor 1,84250,5,0.1457,4.408,0.1641,0.4969,,,,,,,,,,,
ABCG5,ATP binding cassette subfamily G member 5,64240,2,0.2991,-4.515,0.1642,0.497,,,,,,,,,,,
ELP4,elongator acetyltransferase complex subunit 4,26610,11,0.08003,3.932,0.1642,0.497,,,,,,,,,,,
NA,NA,NA,NA,0.1521,-5.248,0.1642,0.497,,,,,,,,,,,
FAM26F,family with sequence similarity 26 member F,441168,6,0.2696,1.582,0.1643,0.497,,,,,,,,,,,
LOC101928600,uncharacterized LOC101928600,101928600,5,0.1219,-5.847,0.1643,0.497,,,,,,,,,,,
NA,NA,NA,NA,0.1493,-5.385,0.1643,0.497,,,,,,,,,,,
NANOS1,nanos homolog 1 (Drosophila),340719,10,0.1468,-5.528,0.1643,0.497,,,,,,,,,,,
C1orf234,chromosome 1 open reading frame 234,729059,1,0.1038,-5.34,0.1643,0.497,,,,,,,,,,,
KRTAP5-2,keratin associated protein 5-2,440021,11,0.06884,-5.925,0.1644,0.497,,,,,,,,,,,
CCL3L1,C-C motif chemokine ligand 3 like 1,6349,17,0.2808,-0.9639,0.1644,0.4971,,,,,,,,,,,
HINT1,histidine triad nucleotide binding protein 1,3094,5,0.03334,6.273,0.1644,0.4971,,,,,,,,,,,
TSPAN14,tetraspanin 14,81619,10,0.1141,6.357,0.1645,0.4972,,,,,,,,,,,
EED,embryonic ectoderm development,8726,11,0.08073,4.423,0.1648,0.4978,,,,,,,,,,,
PIAS3,protein inhibitor of activated STAT 3,10401,1,0.08962,5.564,0.1649,0.4978,,,,,,,,,,,
ANKRD39,ankyrin repeat domain 39,51239,2,0.0656,1.933,0.1649,0.4978,,,,,,,,,,,
CSPP1,centrosome and spindle pole associated protein 1,79848,8,0.121,6.177,0.1649,0.4978,,,,,,,,,,,
UBL5,ubiquitin like 5,59286,19,0.07289,5.697,0.165,0.4978,,,,,,,,,,,
ACP2,"acid phosphatase 2, lysosomal",53,11,0.06579,3.104,0.165,0.4978,,,,,,,,,,,
TOPORS-AS1,TOPORS antisense RNA 1,100129250,9,0.07338,0.9943,0.1651,0.4978,,,,,,,,,,,
MPP7,"membrane protein, palmitoylated 7",143098,10,0.1941,5.587,0.1652,0.4979,,,,,,,,,,,
NA,NA,NA,NA,0.045,-6.089,0.1652,0.4979,,,,,,,,,,,
KNSTRN,kinetochore-localized astrin/SPAG5 binding protein,90417,15,0.1905,3.949,0.1652,0.4979,,,,,,,,,,,
NA,NA,NA,NA,0.01704,-6.216,0.1653,0.4982,,,,,,,,,,,
RAB3D,"RAB3D, member RAS oncogene family",9545,19,0.08148,4.023,0.1654,0.4983,,,,,,,,,,,
NA,NA,NA,NA,0.01316,-6.191,0.1656,0.4988,,,,,,,,,,,
PTK6,protein tyrosine kinase 6,5753,20,0.2606,2.76,0.1657,0.4988,,,,,,,,,,,
NOP16,NOP16 nucleolar protein,51491,5,0.1374,3.084,0.1657,0.4988,,,,,,,,,,,
DMRTA1,DMRT like family A1,63951,9,0.3453,-0.1313,0.1658,0.4993,,,,,,,,,,,
RNF157,ring finger protein 157,114804,17,0.2454,1.001,0.1659,0.4994,,,,,,,,,,,
NA,NA,NA,NA,0.1538,2.113,0.1661,0.4996,,,,,,,,,,,
NR5A1,nuclear receptor subfamily 5 group A member 1,2516,9,0.1814,-5.323,0.1661,0.4996,,,,,,,,,,,
FXYD5,FXYD domain containing ion transport regulator 5,53827,19,0.1439,6.505,0.1662,0.5,,,,,,,,,,,
RGSL1,regulator of G-protein signaling like 1,353299,1,0.192,-5.417,0.1663,0.5,,,,,,,,,,,
B4GALNT3,"beta-1,4-N-acetyl-galactosaminyltransferase 3",283358,12,0.3375,3.317,0.1664,0.5001,,,,,,,,,,,
NA,NA,NA,NA,0.04945,-6.054,0.1664,0.5002,,,,,,,,,,,
TBC1D22B,TBC1 domain family member 22B,55633,6,0.07717,4.259,0.1664,0.5002,,,,,,,,,,,
BCL3,B-cell CLL/lymphoma 3,602,19,0.1422,2.641,0.1664,0.5002,,,,,,,,,,,
LOC284344,uncharacterized LOC284344,284344,19,0.1442,-5.91,0.1665,0.5002,,,,,,,,,,,
ZCCHC17,zinc finger CCHC-type containing 17,51538,1,0.06354,4.497,0.1668,0.5008,,,,,,,,,,,
MAFB,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B,9935,20,0.07483,2.643,0.1669,0.5011,,,,,,,,,,,
CSNK1D,casein kinase 1 delta,1453,17,0.05245,7.945,0.1669,0.5011,,,,,,,,,,,
EFNA2,ephrin-A2,1943,19,0.3636,-3.963,0.1672,0.5018,,,,,,,,,,,
ZNF252P-AS1,ZNF252P antisense RNA 1,286103,8,0.1226,-1.459,0.1673,0.5019,,,,,,,,,,,
MRPL46,mitochondrial ribosomal protein L46,26589,15,0.0807,3.067,0.1673,0.5019,,,,,,,,,,,
GSTO2,glutathione S-transferase omega 2,119391,10,0.2133,3.221,0.1673,0.5019,,,,,,,,,,,
SLC25A33,solute carrier family 25 member 33,84275,1,0.1734,1.217,0.1674,0.5021,,,,,,,,,,,
SLC17A7,solute carrier family 17 member 7,57030,19,0.199,-2.916,0.1674,0.5022,,,,,,,,,,,
SPACA4,sperm acrosome associated 4,171169,19,0.07804,-5.74,0.1675,0.5023,,,,,,,,,,,
SBSN,suprabasin,374897,19,0.4961,1.46,0.1676,0.5023,,,,,,,,,,,
HGFAC,HGF activator,3083,4,0.1253,-4.178,0.1676,0.5023,,,,,,,,,,,
FOXG1,forkhead box G1,2290,14,0.4618,-3.232,0.1677,0.5025,,,,,,,,,,,
ABCD3,ATP binding cassette subfamily D member 3,5825,1,0.2079,8.369,0.1677,0.5025,,,,,,,,,,,
METTL4,methyltransferase like 4,64863,18,0.07044,3.396,0.1678,0.5025,,,,,,,,,,,
UTS2R,urotensin 2 receptor,2837,17,0.1963,-4.882,0.1679,0.5028,,,,,,,,,,,
PRMT5,protein arginine methyltransferase 5,10419,14,0.09557,5.916,0.1681,0.5031,,,,,,,,,,,
GPR89A,G protein-coupled receptor 89A,653519,1,0.1111,0.8186,0.1682,0.5032,,,,,,,,,,,
CBY1,chibby homolog 1 (Drosophila),25776,22,0.06874,3.393,0.1682,0.5032,,,,,,,,,,,
VSIG10,V-set and immunoglobulin domain containing 10,54621,12,0.1643,4.498,0.1684,0.5033,,,,,,,,,,,
VARS2,"valyl-tRNA synthetase 2, mitochondrial",57176,6,0.07689,4.635,0.1684,0.5033,,,,,,,,,,,
KHK,ketohexokinase,3795,2,0.1812,2.046,0.1685,0.5035,,,,,,,,,,,
GOT2,glutamic-oxaloacetic transaminase 2,2806,16,0.09709,5.121,0.1685,0.5035,,,,,,,,,,,
SNORD3B-1,"small nucleolar RNA, C/D box 3B-1",26851,17,0.05647,-0.8103,0.1686,0.5036,,,,,,,,,,,
GRIA2,glutamate ionotropic receptor AMPA type subunit 2,2891,4,0.4181,-2.564,0.1687,0.5038,,,,,,,,,,,
PPM1J,"protein phosphatase, Mg2+/Mn2+ dependent 1J",333926,1,0.1366,-0.1611,0.1687,0.5038,,,,,,,,,,,
LINC01356,long intergenic non-protein coding RNA 1356,100996702,1,0.07045,-6.152,0.1689,0.5042,,,,,,,,,,,
ZFYVE26,zinc finger FYVE-type containing 26,23503,14,0.02754,7.243,0.169,0.5042,,,,,,,,,,,
ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,954,9,0.2652,-0.7725,0.1691,0.5043,,,,,,,,,,,
ARL2,ADP ribosylation factor like GTPase 2,402,11,0.04807,1.862,0.1692,0.5044,,,,,,,,,,,
LMF2,lipase maturation factor 2,91289,22,0.01694,3.739,0.1692,0.5045,,,,,,,,,,,
GBA3,"glucosidase, beta, acid 3 (gene/pseudogene)",57733,4,0.3832,-2.745,0.1693,0.5046,,,,,,,,,,,
PRB1,proline-rich protein BstNI subfamily 1,5542,12,0.1671,-5.92,0.1693,0.5046,,,,,,,,,,,
RNVU1-7,"RNA, variant U1 small nuclear 7",26864,1,0.07993,-5.66,0.1693,0.5047,,,,,,,,,,,
NA,NA,NA,NA,0.1112,-3.631,0.1696,0.505,,,,,,,,,,,
RBP2,retinol binding protein 2,5948,3,0.1848,-5.497,0.1697,0.5053,,,,,,,,,,,
UBN1,ubinuclein 1,29855,16,0.08303,6.007,0.1698,0.5054,,,,,,,,,,,
CYP4F3,cytochrome P450 family 4 subfamily F member 3,4051,19,0.4283,2.077,0.1699,0.5057,,,,,,,,,,,
LPO,lactoperoxidase,4025,17,0.2766,-4.569,0.17,0.5058,,,,,,,,,,,
ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),59084,6,0.2655,2.452,0.17,0.506,,,,,,,,,,,
IL17RD,interleukin 17 receptor D,54756,3,0.227,1.684,0.1701,0.506,,,,,,,,,,,
SCARNA20,small Cajal body-specific RNA 20,677681,17,0.05406,0.5861,0.1701,0.5061,,,,,,,,,,,
NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,4716,16,0.07783,4.637,0.1704,0.5067,,,,,,,,,,,
C1QA,"complement component 1, q subcomponent, A chain",712,1,0.2043,5.899,0.1706,0.5072,,,,,,,,,,,
RFPL4A,ret finger protein like 4A,342931,19,0.2427,-5.156,0.1707,0.5073,,,,,,,,,,,
VWC2,von Willebrand factor C domain containing 2,375567,7,0.2105,-5.073,0.1707,0.5073,,,,,,,,,,,
GOLGA3,golgin A3,2802,12,0.05045,6.621,0.1708,0.5073,,,,,,,,,,,
CCDC12,coiled-coil domain containing 12,151903,3,0.09977,3.945,0.1709,0.5074,,,,,,,,,,,
NA,NA,NA,NA,0.03401,-6.111,0.1709,0.5074,,,,,,,,,,,
MRPL20,mitochondrial ribosomal protein L20,55052,1,0.01678,4.678,0.171,0.5076,,,,,,,,,,,
ZBTB17,zinc finger and BTB domain containing 17,7709,1,0.06522,3.542,0.1711,0.5077,,,,,,,,,,,
IPO11,importin 11,51194,5,0.1077,5.597,0.1711,0.5077,,,,,,,,,,,
SIGLEC11,sialic acid binding Ig like lectin 11,114132,19,0.2267,-3.61,0.1712,0.508,,,,,,,,,,,
FAM184A,family with sequence similarity 184 member A,79632,6,0.2229,2.202,0.1715,0.5089,,,,,,,,,,,
USP28,ubiquitin specific peptidase 28,57646,11,0.08013,5.221,0.1716,0.5091,,,,,,,,,,,
PERP,"PERP, TP53 apoptosis effector",64065,6,0.2064,6.982,0.1717,0.5093,,,,,,,,,,,
OASL,2'-5'-oligoadenylate synthetase like,8638,12,0.14,2.321,0.1718,0.5093,,,,,,,,,,,
CATSPER4,cation channel sperm associated 4,378807,1,0.219,-4.469,0.1718,0.5093,,,,,,,,,,,
NA,NA,NA,NA,0.2043,-4.077,0.1718,0.5094,,,,,,,,,,,
SLA2,Src-like-adaptor 2,84174,20,0.2367,-0.248,0.1722,0.51,,,,,,,,,,,
GAR1,GAR1 ribonucleoprotein,54433,4,0.107,3.575,0.1722,0.51,,,,,,,,,,,
TMCO2,transmembrane and coiled-coil domains 2,127391,1,0.2296,-4.894,0.1723,0.51,,,,,,,,,,,
CHD5,chromodomain helicase DNA binding protein 5,26038,1,0.2824,-0.9397,0.1723,0.51,,,,,,,,,,,
CACNG7,calcium voltage-gated channel auxiliary subunit gamma 7,59284,19,0.1181,-5.965,0.1724,0.5101,,,,,,,,,,,
HOXD13,homeobox D13,3239,2,0.5046,-1.412,0.1724,0.5101,,,,,,,,,,,
MIR421,microRNA 421,693122,X,0.001572,-6.268,0.1728,0.511,,,,,,,,,,,
CCDC167,coiled-coil domain containing 167,154467,6,0.1067,3.037,0.1728,0.511,,,,,,,,,,,
STRIP1,striatin interacting protein 1,85369,1,0.05182,5.696,0.1729,0.511,,,,,,,,,,,
VHL,von Hippel-Lindau tumor suppressor,7428,3,0.08588,5.596,0.1732,0.5115,,,,,,,,,,,
RPS26,ribosomal protein S26,6231,12,0.0854,0.4155,0.1733,0.5117,,,,,,,,,,,
CEACAM6,carcinoembryonic antigen related cell adhesion molecule 6,4680,19,0.5508,4.484,0.1734,0.5118,,,,,,,,,,,
IDH3G,isocitrate dehydrogenase 3 (NAD+) gamma,3421,X,0.03633,4.554,0.1735,0.5121,,,,,,,,,,,
LOC102724532,uncharacterized LOC102724532,102724532,17,0.0338,-6.145,0.1736,0.5122,,,,,,,,,,,
NA,NA,NA,NA,0.267,-3.141,0.1737,0.5123,,,,,,,,,,,
PYCARD,PYD and CARD domain containing,29108,16,0.06579,2.173,0.1737,0.5124,,,,,,,,,,,
NA,NA,NA,NA,0.07422,-6.044,0.1738,0.5125,,,,,,,,,,,
ANP32E,acidic nuclear phosphoprotein 32 family member E,81611,1,0.1006,6.196,0.1738,0.5125,,,,,,,,,,,
ALG5,"ALG5, dolichyl-phosphate beta-glucosyltransferase",29880,13,0.05892,5.191,0.1738,0.5125,,,,,,,,,,,
MSH2,mutS homolog 2,4436,2,0.1433,7.18,0.1739,0.5125,,,,,,,,,,,
ABHD5,abhydrolase domain containing 5,51099,3,0.1401,5.559,0.1739,0.5125,,,,,,,,,,,
NA,NA,NA,NA,0.03136,-6.085,0.1739,0.5125,,,,,,,,,,,
LOC101928780,uncharacterized LOC101928780,101928780,19,0.1312,-0.8009,0.174,0.5125,,,,,,,,,,,
NUP88,nucleoporin 88kDa,4927,17,0.1222,5.599,0.174,0.5125,,,,,,,,,,,
METAP2,methionyl aminopeptidase 2,10988,12,0.006299,6.686,0.174,0.5125,,,,,,,,,,,
AGBL4,ATP/GTP binding protein-like 4,84871,1,0.3711,-1.521,0.1742,0.5128,,,,,,,,,,,
PCDHA5,protocadherin alpha 5,56143,5,0.3875,0.01735,0.1743,0.513,,,,,,,,,,,
MYO1C,myosin IC,4641,17,0.07423,8.072,0.1743,0.5131,,,,,,,,,,,
CBR1,carbonyl reductase 1,873,21,0.121,3.483,0.1744,0.5132,,,,,,,,,,,
SLC35G1,solute carrier family 35 member G1,159371,10,0.2385,0.7775,0.1745,0.5132,,,,,,,,,,,
NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,4709,2,0.06804,4.307,0.1745,0.5132,,,,,,,,,,,
KC6,keratoconus gene 6,641516,18,0.06084,-5.97,0.1745,0.5132,,,,,,,,,,,
C3orf70,chromosome 3 open reading frame 70,285382,3,0.2753,0.7954,0.1745,0.5132,,,,,,,,,,,
NA,NA,NA,NA,0.03503,-5.696,0.1746,0.5133,,,,,,,,,,,
TAC3,tachykinin 3,6866,12,0.6149,0.6145,0.1747,0.5135,,,,,,,,,,,
NKAIN1,Na+/K+ transporting ATPase interacting 1,79570,1,0.2076,-4.156,0.1748,0.5137,,,,,,,,,,,
LOC339975,uncharacterized LOC339975,339975,4,0.04003,-6.129,0.1749,0.5137,,,,,,,,,,,
DESI1,desumoylating isopeptidase 1,27351,22,0.1075,3.257,0.175,0.514,,,,,,,,,,,
DISC1FP1,DISC1 fusion partner 1 (non-protein coding),101929222,11,0.002136,-6.218,0.1752,0.5145,,,,,,,,,,,
HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",3117,6,0.1705,-5.024,0.1753,0.5145,,,,,,,,,,,
NA,NA,NA,NA,0.1918,-5.215,0.1757,0.5151,,,,,,,,,,,
UTY,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked",7404,Y,0.6028,5.288,0.1757,0.5152,,,,,,,,,,,
CNBP,"CCHC-type zinc finger, nucleic acid binding protein",7555,3,0.01688,6.96,0.1757,0.5152,,,,,,,,,,,
KIF3C,kinesin family member 3C,3797,2,0.1316,3.578,0.1759,0.5154,,,,,,,,,,,
PPIAL4G,peptidylprolyl isomerase A like 4G,644591,1,0.07397,-5.894,0.176,0.5154,,,,,,,,,,,
GATA3-AS1,GATA3 antisense RNA 1,399717,10,0.1913,-4.428,0.176,0.5155,,,,,,,,,,,
LOC653712,intraflagellar transport 122 homolog (Chlamydomonas) pseudogene,653712,3,0.1617,-1.718,0.1761,0.5156,,,,,,,,,,,
UFM1,ubiquitin-fold modifier 1,51569,13,0.01932,3.552,0.1761,0.5156,,,,,,,,,,,
SLC25A44,solute carrier family 25 member 44,9673,1,0.1125,2.794,0.1763,0.5158,,,,,,,,,,,
TAAR5,trace amine associated receptor 5,9038,6,0.001908,-6.256,0.1764,0.516,,,,,,,,,,,
NA,NA,NA,NA,0.1541,0.3268,0.1764,0.5161,,,,,,,,,,,
EFS,embryonal Fyn-associated substrate,10278,14,0.1117,1.532,0.1765,0.5163,,,,,,,,,,,
PLCE1,phospholipase C epsilon 1,51196,10,0.2947,7.669,0.1767,0.5167,,,,,,,,,,,
CHIAP2,"chitinase, acidic pseudogene 2",149620,1,0.09584,-5.749,0.1768,0.5169,,,,,,,,,,,
ANKRD19P,"ankyrin repeat domain 19, pseudogene",138649,9,0.5222,0.9845,0.1769,0.517,,,,,,,,,,,
LOC728339,uncharacterized LOC728339,728339,4,0.01827,-6.201,0.1769,0.517,,,,,,,,,,,
JADE2,jade family PHD finger 2,23338,5,0.08186,4.145,0.1769,0.517,,,,,,,,,,,
PAX9,paired box 9,5083,14,0.3729,1.35,0.1769,0.517,,,,,,,,,,,
RPS27A,ribosomal protein S27a,6233,2,0.1027,7.085,0.177,0.517,,,,,,,,,,,
C1D,C1D nuclear receptor corepressor,10438,2,0.1027,1.352,0.1772,0.5174,,,,,,,,,,,
ZBTB43,zinc finger and BTB domain containing 43,23099,9,0.1506,3.668,0.1773,0.5176,,,,,,,,,,,
UBXN1,UBX domain protein 1,51035,11,0.03101,4.69,0.1775,0.518,,,,,,,,,,,
INHBC,inhibin beta C,3626,12,0.1535,-5.009,0.1776,0.5182,,,,,,,,,,,
C9orf91,chromosome 9 open reading frame 91,203197,9,0.05073,2.444,0.1776,0.5182,,,,,,,,,,,
SMIM15,small integral membrane protein 15,643155,5,0.03588,4.243,0.1776,0.5182,,,,,,,,,,,
ATAD2,"ATPase family, AAA domain containing 2",29028,8,0.1367,6.969,0.1777,0.5183,,,,,,,,,,,
TREM2,triggering receptor expressed on myeloid cells 2,54209,6,0.2125,1.957,0.1777,0.5183,,,,,,,,,,,
DPPA5,developmental pluripotency associated 5,340168,6,0.07786,-6.076,0.1779,0.5187,,,,,,,,,,,
MMP25,matrix metallopeptidase 25,64386,16,0.2512,-2.199,0.1779,0.5187,,,,,,,,,,,
RASGEF1B,RasGEF domain family member 1B,153020,4,0.192,3.345,0.1781,0.519,,,,,,,,,,,
NA,NA,NA,NA,0.06847,-5.991,0.1783,0.5194,,,,,,,,,,,
